,Title,Label
0,현대오일뱅크 정유업계 유일 '흑자전환' 성공,1
1,해태제과 상장 첫 날부터 '상한가',1
2,계속되는 동학개미 물결에 증권株 주가 고공행진,1
3,이젠 독자를 찾아가야 할 시간,0
4,"덴티움 목표주가 낮아져 ""코로나19 창궐로 수출 감소 불가피""",-1
5,[포춘US]기후 위기 | 플라스틱 재활용의 악순환,0
6,[공시]에스제이케이 136억 규모 일반3중 부직포 덴탈형 마스크 공급계약,1
7,2018년 경남 경제 10대 뉴스,0
8,눈 위에 서리…세계 경제 침체 국면에 지카바이러스까지,0
9,영암군 기찬 자연휴양림 조성사업 본격 추진,1
10,금융위 9월부터 조건부 주담대 현미경 검사 예고,0
11,<중국증시-마감> 기업 실적 기대에 상하이 상승…0.28%↑,1
12,고려아연 銀 가격 상승 실적 개선 기대-NH,1
13,코로나 속 영화관 누가 갈까…'혼영족'·1020관객 비중 증가,1
14,충북농업기술원 농식품 특허기술 통상실시권 계약 체결,1
15,'투자 빈손' 소프트뱅크 핵심멤버 줄사퇴?,0
16,[장외주식]KDB생명 단기급등 부담 이틀째 급락,-1
17,STX조선 코로나 이후 첫 수주…6600톤급 탱커 3척 확보,1
18,[컨콜종합] 에쓰오일 “손실 대부분은 정유 부문…가동률 조정 없었다”,0
19,[단독] 미래에셋 홍콩 부동산 투자 2800억 원 상환 연기 내막,1
20,LH 충남 아산시 ‘아산탕정2 도시개발구역’ 지정…사업 본격 추진,1
21,"의료 AI 딥노이드, 빅데이터 프로큐라티오와 협업",0
22,[윤용인의 노비문장] 힐링 다음은 뭐야?,0
23,게임빌 2Q 영업이익 전년比 흑자전환…게임사업 흑자+계열사 실적 호조,1
24,[뉴욕증시] 유가 급등 속 혼조세...다우 0.1%↑,1
25,'코로나 정리해고' 아시아나 하청노조 농성장 3번째 강제철거,-1
26,미국 증시 2.3% 상승…코로나 '진정'·기업실적 '기대 이상',1
27,‘러브콜’ 받는 LG그룹주…실적은 제각각,0
28,은성수 DLF 투자자 등에 “공짜점심 없다…자기 책임으로 투자해야”,1
29,[눈] 쌍용차 해고노동자 11년만의 출근,-1
30,카카오게임즈 기관 수요예측 D-1…'공모주린이'가 몰려온다,0
31,"코스닥, 20.57p(2.52%) 오른 836.31 마감",0
32,"[클릭 e종목] ""청담러닝, 중국 시장 진출로 매출 성장 기대""",1
33,상한가 잠깐 풀렸더니..SK바이오팜 1.5조원 거래됐다,1
34,미디어플렉스 '미스터 고' 실패 주가 반영…'관상'에 기대-신영,0
35,인천경제청 인하대 송도 11공구 매매계약 체결 가능,1
36,진매트릭스 상반기 영업익 39억…흑자전환,1
37,[fnRASSI]바이온 상한가 기록,1
38,공무원연금 적자 눈덩이…2045년엔 국민혈세 11조 들어간다,-1
39,"큐에스아이 상한가 … ""수요 늘어 실적 개선""",1
40,정유 4사 ‘실적 쇼크’ 현실로…1분기 영업손실 4조 전망,0
41,[CEO LOUNGE] 배재훈 HMM 사장 | 21분기 만에 흑자…‘해운 부활’ 신호탄 쐈...,1
42,금감원 직원 정부 대책 발표 직전에 '암호화폐' 매도,0
43,"시진핑 부활?트럼프 굴욕?아베 몰락… 100억 富의 추월차선, 中 주식으로 이동? [한상춘의 지금 세계는]",0
44,SK D&D 상장 첫날 상한가 직행,1
45,이동걸의 결단 '대조양 딜' 만들었다,0
46,모더나 수주설에 급등한 ‘바이넥스’... “접촉한적 없다”,1
47,2018 미디어 시장 회고 그리고 희망은 계획이 아니다,0
48,[집중진단] 삼전 2Q 어닝 서프라이즈에도 주가 박스권 왜?,0
49,트루윈 2분기 영업이익 19억원으로 흑자전환 성공,1
50,코로나19 발생 폭락장에도 주가 오른 기업은?,-1
51,제이준코스메틱 2분기 영업이익 3억원…흑자전환,1
52,"이스타항공 노조 가면 쓰고 ""정리해고 중단"" 촉구",-1
53,[기고] 가정 평화 위협하는 코로나,0
54,“코로나 따위에 환자 생명 살리는 일 멈출 수 없죠”,0
55,명품업계 불황에… “버버리 CEO 연봉 75% 삭감”,0
56,"냉동만두업계 경영난 무혐의 업체도 ""죽을 맛""",-1
57,"머스트자산운용, 태영건설 지분 4.61% 처분",0
58,홈센타홀딩스 “에이치씨군위산업 자회사에 편입 및 유형자산 취득계약 체결...,1
59,엔씨소프트 '3중고'에 발목 잡히나…BBIG 중 나홀로 주가 '역주행',-1
60,오늘의 증시 메모[8월 26일],0
61,[속보] 코로나19 치료제 ‘렘데시비르’ 오늘부터 국내 공급,0
62,신한건축 대전서구 '갈마동 복합커뮤니티센터 건립사업' 설계용역 수주,1
63,농심 국내선 '깡' 해외선 '매운맛'이 매출 견인··· 목표가↑ [신영증권...,1
